cpf,nome,idade
111.111.111-11,Rodrigo Azevedo,31
222.222.222-22,Luana Barbosa,29
333.333.333-33,Marcos Vinicius,42
444.444.444-44,Helena Xavier,26
555.555.555-55,Otávio Queiroz,38
666.666.666-66,Yasmin Drumond,24
777.777.777-77,Victor Hugo,47
888.888.888-88,Lorena Andrade,33
999.999.999-99,Caio Monteiro,36
123.123.123-12,Lívia Sampaio,27
456.456.456-45,Bruno Toledo,41
789.789.789-78,Clara Dantas,30
147.147.147-14,Matheus Rios,35
258.258.258-25,Laura Prado,28
369.369.369-36,Guilherme Lira,39
159.159.159-15,Antonella Brito,32
357.357.357-35,Enzo Gabriel,43
486.486.486-48,Sophia Valença,25
951.951.951-95,Arthur Diniz,44
753.753.753-75,Alice Farias,37
824.824.824-82,Breno Albuquerque,40
285.285.285-28,Valentina Telles,34
396.396.396-39,Luiz Felipe,45
417.417.417-41,Lavínia Noronha,31
628.628.628-62,Pietro Galvão,46
514.514.514-51,Isadora Câmara,29
739.739.739-73,João Miguel,48
111.222.333-55,Rafaela Bittencourt,27
222.333.444-66,Emanuelly Siqueira,36
333.444.555-77,Thales Fontes,49
444.555.666-88,Elisa Vasconcelos,30
555.666.777-99,Anthony Miranda,38
666.777.888-00,Mirela Fonseca,26
777.888.999-11,Calebe Araújo,41
888.999.000-22,Esther Camargo,33
999.000.111-33,Davi Lucas,47
000.111.222-44,Ana Clara,24
123.234.345-56,Henry Campos,39
234.345.456-67,Gabrielly Maciel,35
345.456.567-78,Benjamin Nascimento,42
456.567.678-89,Lara Cunha,28
567.678.789-90,Noah Silveira,50
678.789.890-01,Marina Duarte,31
789.890.901-12,Theo Caldas,37
890.901.012-23,Laura Souza,45
901.012.123-34,Samuel Moraes,29
012.123.234-45,Luiza Costa,40
135.246.357-68,Ricardo Nogueira,44
246.357.468-79,Aurora Melo,32
357.468.579-80,Enrico Barreto,48
468.579.680-91,Agatha Medeiros,34
579.680.791-02,João Pedro,48
680.791.802-13,Luna Cavalcanti,27
791.802.913-24,Vicente Arouca,41
802.913.024-35,Clarice Tavares,36
913.024.135-46,Augusto Leal,43
024.135.246-57,Elisa Viana,38
135.246.357-79,Bianca Rocha,33
246.357.468-80,Ruan Pimentel,47
123.456.789-00,João Silva,30
987.654.321-00,Maria Souza,25
111.222.333-44,Carlos Oliveira,40
555.666.777-88,Ana Santos,35
222.333.444-55,Pedro Rocha,28
888.999.000-11,Julia Mendes,22
333.444.555-66,Lucas Almeida,31
777.888.999-00,Mariana Lima,29
444.555.666-77,Rafael Costa,33
999.000.111-22,Patrícia Nunes,27
123.987.654-00,Felipe Gomes,45
456.789.123-99,Larissa Martins,26
789.123.456-88,Gustavo Henrique,39
321.654.987-77,Amanda Reis,24
654.987.321-66,Roberto Campos,50
147.258.369-00,Beatriz Ramos,32
258.369.147-99,Daniel Torres,36
369.147.258-88,Carolina Dias,23
159.357.486-00,Eduardo Lopes,41
357.486.159-99,Fernanda Castro,34
486.159.357-88,Thiago Neves,37
951.753.824-00,Vanessa Peixoto,38
753.824.951-99,Leonardo Moura,42
824.951.753-88,Tatiane Barros,31
285.396.417-00,Diego Pires,29
396.417.285-99,Camila Cardoso,35
417.285.396-88,Renato Teixeira,44
628.514.739-00,Sandra Machado,48
514.739.628-99,André Ribeiro,33
739.628.514-88,Isabela Freitas,27
111.111.111-11,Rodrigo Azevedo,31
222.222.222-22,Luana Barbosa,29
333.333.333-33,Marcos Vinicius,42
444.444.444-44,Helena Xavier,26
555.555.555-55,Otávio Queiroz,38
666.666.666-66,Yasmin Drumond,24
777.777.777-77,Victor Hugo,47
888.888.888-88,Lorena Andrade,33
999.999.999-99,Caio Monteiro,36
123.123.123-12,Lívia Sampaio,27
456.456.456-45,Bruno Toledo,41
789.789.789-78,Clara Dantas,30
147.147.147-14,Matheus Rios,35
258.258.258-25,Laura Prado,28
369.369.369-36,Guilherme Lira,39
159.159.159-15,Antonella Brito,32
357.357.357-35,Enzo Gabriel,43
486.486.486-48,Sophia Valença,25
951.951.951-95,Arthur Diniz,44
753.753.753-75,Alice Farias,37
824.824.824-82,Breno Albuquerque,40
285.285.285-28,Valentina Telles,34
396.396.396-39,Luiz Felipe,45
417.417.417-41,Lavínia Noronha,31
628.628.628-62,Pietro Galvão,46
514.514.514-51,Isadora Câmara,29
739.739.739-73,João Miguel,48
111.222.333-55,Rafaela Bittencourt,27
222.333.444-66,Emanuelly Siqueira,36
333.444.555-77,Thales Fontes,49
444.555.666-88,Elisa Vasconcelos,30
555.666.777-99,Anthony Miranda,38
666.777.888-00,Mirela Fonseca,26
777.888.999-11,Calebe Araújo,41
888.999.000-22,Esther Camargo,33
999.000.111-33,Davi Lucas,47
000.111.222-44,Ana Clara,24
123.234.345-56,Henry Campos,39
234.345.456-67,Gabrielly Maciel,35
345.456.567-78,Benjamin Nascimento,42
456.567.678-89,Lara Cunha,28
567.678.789-90,Noah Silveira,50
678.789.890-01,Marina Duarte,31
789.890.901-12,Theo Caldas,37
890.901.012-23,Laura Souza,45
901.012.123-34,Samuel Moraes,29
012.123.234-45,Luiza Costa,40
135.246.357-68,Ricardo Nogueira,44
246.357.468-79,Aurora Melo,32
357.468.579-80,Enrico Barreto,48
468.579.680-91,Agatha Medeiros,34
579.680.791-02,João Pedro,48
680.791.802-13,Luna Cavalcanti,27
791.802.913-24,Vicente Arouca,41
802.913.024-35,Clarice Tavares,36
913.024.135-46,Augusto Leal,43
024.135.246-57,Elisa Viana,38
135.246.357-79,Bianca Rocha,33
246.357.468-80,Ruan Pimentel,47
